cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
2718	2718	non	78	116	0	na
2958	240	noff	78	0	0	na
2958	0	non	73	101	0	na
3198	240	noff	73	0	0	na
3198	0	non	76	110	0	na
3438	240	noff	76	0	0	na
3438	0	non	76	96	0	na
3558	120	noff	76	0	0	na
3558	0	non	78	113	0	na
3838	280	noff	78	0	0	na
3918	80	non	73	100	0	na
4038	120	noff	73	0	0	na
4038	0	non	76	110	0	na
4278	240	noff	76	0	0	na
4278	0	non	78	114	0	na
4398	120	noff	78	0	0	na
4398	0	non	73	108	0	na
4518	120	noff	73	0	0	na
4518	0	non	76	111	0	na
4638	120	noff	76	0	0	na
4638	0	non	81	122	0	na
4878	240	noff	81	0	0	na
4958	80	non	81	121	0	na
5118	160	noff	81	0	0	na
5118	0	non	80	119	0	na
5358	240	noff	80	0	0	na
5438	80	non	80	115	0	na
5598	160	noff	80	0	0	na
5598	0	non	78	119	0	na
5838	240	noff	78	0	0	na
5918	80	non	78	115	0	na
6078	160	noff	78	0	0	na
6078	0	non	73	97	0	na
6198	120	noff	73	0	0	na
6198	0	non	76	105	0	na
6438	240	noff	76	0	0	na
6438	0	non	78	115	0	na
6798	360	noff	78	0	0	na
6798	0	non	76	109	0	na
7038	240	noff	76	0	0	na
7038	0	non	73	100	0	na
7158	120	noff	73	0	0	na
7158	0	non	76	106	0	na
7398	240	noff	76	0	0	na
7518	120	non	69	94	0	na
7758	240	noff	69	0	0	na
7758	0	non	71	100	0	na
7998	240	noff	71	0	0	na
7998	0	non	73	106	0	na
8238	240	noff	73	0	0	na
8238	0	non	80	114	0	na
8478	240	noff	80	0	0	na
8478	0	non	81	119	0	na
8718	240	noff	81	0	0	na
8958	240	non	83	120	0	na
9198	240	noff	83	0	0	na
9318	120	non	81	118	0	na
9558	240	noff	81	0	0	na
9558	0	non	80	115	0	na
9678	120	noff	80	0	0	na
9678	0	non	76	113	0	na
9798	120	noff	76	0	0	na
9798	0	non	78	113	0	na
9918	120	noff	78	0	0	na
9918	0	non	73	110	0	na
10038	120	noff	73	0	0	na
10038	0	non	76	108	0	na
10158	120	noff	76	0	0	na
10158	0	non	71	105	0	na
10398	240	noff	71	0	0	na
10398	0	non	73	106	0	na
10638	240	noff	73	0	0	na
10638	0	non	76	107	0	na
10878	240	noff	76	0	0	na
10878	0	non	78	109	0	na
11238	360	noff	78	0	0	na
11238	0	non	73	102	0	na
11478	240	noff	73	0	0	na
11478	0	non	73	106	0	na
11598	120	noff	73	0	0	na
11598	0	non	76	108	0	na
11838	240	noff	76	0	0	na
11838	0	non	78	112	0	na
12078	240	noff	78	0	0	na
12078	0	non	71	105	0	na
12318	240	noff	71	0	0	na
12318	0	non	69	102	0	na
12558	240	noff	69	0	0	na
12558	0	non	68	99	0	na
12798	240	noff	68	0	0	na
12798	0	non	76	100	0	na
12978	180	noff	76	0	0	na
12978	0	non	76	88	0	na
13038	60	non	78	107	0	na
13098	60	noff	76	0	0	na
13278	180	noff	78	0	0	na
13278	0	non	73	104	0	na
13518	240	noff	73	0	0	na
13518	0	non	71	101	0	na
13758	240	noff	71	0	0	na
13758	0	non	69	98	0	na
13998	240	noff	69	0	0	na
13998	0	non	68	100	0	na
14238	240	noff	68	0	0	na
14238	0	non	69	102	0	na
14478	240	noff	69	0	0	na
14478	0	non	68	97	0	na
14718	240	noff	68	0	0	na
14718	0	non	66	91	0	na
14898	180	noff	66	0	0	na
14898	0	non	71	84	0	na
14958	60	non	73	106	0	na
15018	60	noff	71	0	0	na
15198	180	noff	73	0	0	na
15198	0	non	69	100	0	na
15438	240	noff	69	0	0	na
15438	0	non	68	99	0	na
15678	240	noff	68	0	0	na
15678	0	non	66	98	0	na
15798	120	noff	66	0	0	na
15798	0	non	73	95	0	na
15918	120	noff	73	0	0	na
15918	0	non	76	99	0	na
16038	120	noff	76	0	0	na
16038	0	non	71	106	0	na
16158	120	noff	71	0	0	na
16158	0	non	69	105	0	na
16398	240	noff	69	0	0	na
16398	0	non	68	104	0	na
16638	240	noff	68	0	0	na
16638	0	non	66	96	0	na
16878	240	noff	66	0	0	na
16878	0	non	61	94	0	na
17118	240	noff	61	0	0	na
17118	0	non	68	103	0	na
17358	240	noff	68	0	0	na
17358	0	non	66	99	0	na
17598	240	noff	66	0	0	na
17598	0	non	64	95	0	na
17838	240	noff	64	0	0	na
17838	0	non	59	91	0	na
18078	240	noff	59	0	0	na
18078	0	non	78	116	0	na
18318	240	noff	78	0	0	na
18318	0	non	73	101	0	na
18558	240	noff	73	0	0	na
18558	0	non	76	110	0	na
18798	240	noff	76	0	0	na
18798	0	non	76	96	0	na
18918	120	noff	76	0	0	na
18918	0	non	78	113	0	na
19198	280	noff	78	0	0	na
19278	80	non	73	100	0	na
19398	120	noff	73	0	0	na
19398	0	non	76	110	0	na
19638	240	noff	76	0	0	na
19638	0	non	78	114	0	na
19758	120	noff	78	0	0	na
19758	0	non	73	108	0	na
19878	120	noff	73	0	0	na
19878	0	non	76	111	0	na
19998	120	noff	76	0	0	na
19998	0	non	81	122	0	na
20238	240	noff	81	0	0	na
20318	80	non	81	121	0	na
20478	160	noff	81	0	0	na
20478	0	non	80	119	0	na
20718	240	noff	80	0	0	na
20798	80	non	80	115	0	na
20958	160	noff	80	0	0	na
20958	0	non	78	119	0	na
21198	240	noff	78	0	0	na
21278	80	non	78	115	0	na
21438	160	noff	78	0	0	na
21438	0	non	73	97	0	na
21558	120	noff	73	0	0	na
21558	0	non	76	105	0	na
21798	240	noff	76	0	0	na
21798	0	non	78	115	0	na
22158	360	noff	78	0	0	na
22158	0	non	76	109	0	na
22398	240	noff	76	0	0	na
22398	0	non	73	100	0	na
22518	120	noff	73	0	0	na
22518	0	non	76	106	0	na
22758	240	noff	76	0	0	na
22878	120	non	69	94	0	na
23118	240	noff	69	0	0	na
23118	0	non	71	100	0	na
23358	240	noff	71	0	0	na
23358	0	non	73	106	0	na
23598	240	noff	73	0	0	na
23598	0	non	80	114	0	na
23838	240	noff	80	0	0	na
23838	0	non	81	119	0	na
24078	240	noff	81	0	0	na
24318	240	non	83	120	0	na
24558	240	noff	83	0	0	na
24678	120	non	81	118	0	na
24918	240	noff	81	0	0	na
24918	0	non	80	115	0	na
25038	120	noff	80	0	0	na
25038	0	non	76	113	0	na
25158	120	noff	76	0	0	na
25158	0	non	78	113	0	na
25278	120	noff	78	0	0	na
25278	0	non	73	110	0	na
25398	120	noff	73	0	0	na
25398	0	non	76	108	0	na
25518	120	noff	76	0	0	na
25518	0	non	71	105	0	na
25758	240	noff	71	0	0	na
25758	0	non	73	106	0	na
25998	240	noff	73	0	0	na
25998	0	non	76	107	0	na
26238	240	noff	76	0	0	na
26238	0	non	78	109	0	na
26598	360	noff	78	0	0	na
26598	0	non	73	102	0	na
26838	240	noff	73	0	0	na
26838	0	non	73	106	0	na
26958	120	noff	73	0	0	na
26958	0	non	76	108	0	na
27198	240	noff	76	0	0	na
27198	0	non	78	112	0	na
27438	240	noff	78	0	0	na
27438	0	non	71	105	0	na
27678	240	noff	71	0	0	na
27678	0	non	69	102	0	na
27918	240	noff	69	0	0	na
27918	0	non	68	99	0	na
28158	240	noff	68	0	0	na
28158	0	non	76	100	0	na
28338	180	noff	76	0	0	na
28338	0	non	76	88	0	na
28398	60	noff	76	0	0	na
28398	0	non	78	107	0	na
28638	240	noff	78	0	0	na
28638	0	non	73	104	0	na
28878	240	noff	73	0	0	na
28878	0	non	71	101	0	na
29118	240	noff	71	0	0	na
29118	0	non	69	98	0	na
29358	240	noff	69	0	0	na
29358	0	non	68	100	0	na
29598	240	noff	68	0	0	na
29598	0	non	69	102	0	na
29838	240	noff	69	0	0	na
29838	0	non	68	97	0	na
30078	240	noff	68	0	0	na
30078	0	non	66	91	0	na
30258	180	noff	66	0	0	na
30258	0	non	71	84	0	na
30318	60	noff	71	0	0	na
30318	0	non	73	106	0	na
30558	240	noff	73	0	0	na
30558	0	non	69	100	0	na
30798	240	noff	69	0	0	na
30798	0	non	68	99	0	na
31038	240	noff	68	0	0	na
31038	0	non	66	98	0	na
31158	120	noff	66	0	0	na
